Name,Writer,Likes,Genre,Rating,Subscribers
Sweet Home,Carnby Kim / Youngchan Hwang,16900000,Thriller,9.87,2800000
Grasp,Jeonghoon Hwang,203091,Thriller,9.55,87600
Forest of Humans,Junho Hwang,285344,Thriller,9.57,108000
PIGPEN,Carnby Kim / Beom Sick Cheon,1500000,Thriller,9.74,317100
Shriek,Various Artists,377712,Thriller,9.75,337600
The Cliff,Sungdae Oh,98531,Thriller,9.32,68600
Rotten,Goodguy,1100000,Thriller,9.68,386100
Delusion,Hongjacga,802309,Thriller,9.79,189600
Epilogue,Cho Seok,156290,Thriller,9.49,67100
Bite Me,AffectedMind,1300000,Thriller,8.26,426500
HIVE,Kyusam Kim,2700000,Thriller,9.66,443900
DEEP,TOWOO / Tae Heon Kim,197725,Thriller,9.14,112900
#Killstagram,Ryoung,3300000,Thriller,9.29,818200
