지역구,혼인,이혼
강서구,2614,865
송파구,2555,841
관악구,1981,673
영등포구,1978,493
노원구,1748,665
중랑구,1723,688
강남구,1666,671
강동구,1645,657
은평구,1585,712
구로구,1562,578
마포구,150,397
동작구,1481,459
성북구,1429,532
양천구,1339,637
광진구,1317,473
서초구,1306,445
동대문구,1201,479
성동구,1179,344
금천구,1149,409
서대문구,1051,387
용산구,948,300
도봉구,940,495
강북구,838,563
중구,511,204
종로구,486,207
