desertionNo,happenDt,happenPlace,upKindNm,kindNm,age,weight,sexCd,neuterYn,processState,careNm,orgNm
448545202500390,2025-12-03,산청군 단성면 목화로 966,개,믹스견,2009(년생),2.2(Kg),F,N,보호중,산청동물보호센터,경상남도 산청군
448545202500389,2025-12-03,산청군신안면 신안리 87-4,개,믹스견,2021(년생),13.5(Kg),M,N,보호중,산청동물보호센터,경상남도 산청군
448545202500388,2025-12-03,산청군 신등면 가회로 52,개,믹스견,2018(년생),5.3(Kg),F,N,보호중,산청동물보호센터,경상남도 산청군
448541202501873,2025-12-03,창녕읍 남창녕로,고양이,한국 고양이,2025(60일미만)(년생),1(Kg),M,N,보호중,창녕 유기동물보호소,경상남도 창녕군
447511202501450,2025-12-03,상주시 청리면 마공공단로 일대,개,믹스견,2022(년생),17.48(Kg),M,N,보호중,상주시 동물보호센터,경상북도 상주시
447505202501654,2025-12-03,윗동천 강변 부근,개,믹스견,2025(60일미만)(년생),9.8(Kg),F,N,보호중,경주동물사랑보호센터,경상북도 경주시
447505202501653,2025-12-03,건천읍 내서로 부근,개,시베리안 허스키,2023(년생),20(Kg),Q,U,보호중,경주동물사랑보호센터,경상북도 경주시
445479202501255,2025-12-03,부안읍 진성아파트 102동,개,믹스견,2023(년생),6(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445471202500770,2025-12-03,유강4길 51-2,개,아메리칸 불독,2021(년생),20(Kg),M,N,보호중,전북말산업복합센터,전북특별자치도 김제시
445464202503470,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.11(Kg),Q,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503469,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.13(Kg),Q,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503468,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.13(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503467,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.11(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503466,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.11(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503465,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.13(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
443439202500906,2025-12-03,주봉산펜션(동량면),개,믹스견,2022(년생),12(Kg),M,N,종료(안락사),충주시동물보호센터,충청북도 충주시
442431202500314,2025-12-03,화천군 딴산유원지,개,불독,2019(년생),17.50(Kg),M,U,보호중,화천군농업기술센터,강원특별자치도 화천군
442421202500216,2025-12-03,분토길 70 인근,개,미니어쳐 닥스훈트,2020(년생),5(Kg),M,U,보호중,동해시동물보호센터,강원특별자치도 동해시
441386202501624,2025-12-03,원종로 9번길 59,개,비숑 프리제,2023(년생),6.0(Kg),F,U,종료(반환),24시아이동물메디컬,경기도 부천시
431370202500956,2025-12-03,문수구장,고양이,한국 고양이,2025(60일미만)(년생),0.5(Kg),M,N,보호중,스마일동물병원,울산광역시 남구
429362202500916,2025-12-03,북구 첨단119,개,비숑 프리제,2023(년생),3.2(Kg),F,U,보호중,광주동물보호센터,광주광역시 북구
450650202503248,2025-12-02,제주시 애월읍 유수암평화10길 175-78 노꼬메펜션캠핑장,개,믹스견,2024(년생),14(Kg),M,N,보호중,제주 동물보호센터,제주특별자치도
450650202503247,2025-12-02,제주시 외도일동 우정로6길17 아모르아파트 102동 옥상,개,믹스견,2025(년생),6.3(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
450650202503246,2025-12-02,서귀포시 대포동 1100로 731-34,개,포인터,2022(년생),14.4(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
450650202503245,2025-12-02,서귀포시 대정읍 무릉중앙로11번길 11-1,개,믹스견,2024(년생),10.7(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
450650202503244,2025-12-02,서귀포시 남원읍 신흥고수로 356,개,믹스견,2025(년생),4.6(Kg),F,N,보호중,제주 동물보호센터,제주특별자치도
450650202503243,2025-12-02,서귀포시 안덕면 사계리 451 임야 내,개,믹스견,2025(년생),4.3(Kg),M,N,보호중,제주 동물보호센터,제주특별자치도
450650202503242,2025-12-02,서귀포시 상효동 1581 우리들골프장,개,믹스견,2025(60일미만)(년생),2.3(Kg),M,N,보호중,제주 동물보호센터,제주특별자치도
450650202503241,2025-12-02,서귀포시 상효동 1581 우리들골프장,개,믹스견,2023(년생),11.3(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
448535202501788,2025-12-02,김해시 생림면 나전로 276,개,믹스견,2024(년생),2(Kg),F,U,보호중,(사)동물보호관리협회,경상남도 김해시
448535202501787,2025-12-02,김해시 생림면 나전로 276,개,믹스견,2022(년생),5(Kg),F,U,보호중,(사)동물보호관리협회,경상남도 김해시
448535202501786,2025-12-02,김해시 생림면 나전로 276,개,믹스견,2022(년생),5(Kg),F,U,보호중,(사)동물보호관리협회,경상남도 김해시
448535202501785,2025-12-02,김해시 상동면 362,개,믹스견,2022(년생),4(Kg),M,U,보호중,(사)동물보호관리협회,경상남도 김해시
447512202500693,2025-12-02,가은죽문,개,믹스견,2023(년생),12(Kg),F,N,보호중,종합축산,경상북도 문경시
447512202500692,2025-12-02,가은죽문,개,믹스견,2023(년생),15(Kg),M,N,보호중,종합축산,경상북도 문경시
447510202500779,2025-12-02,임고면 방천길 238,개,믹스견,2022(년생),12(Kg),F,N,보호중,영천유기동물보호센터,경상북도 영천시
447506202500415,2025-12-02,다수동 케이원마트,개,믹스견,2018(년생),4.5(Kg),M,Y,보호중,김천시 동물보호센터,경상북도 김천시
446493202500374,2025-12-02,해남읍 안동리,개,믹스견,2025(년생),2.56(Kg),F,U,보호중,해남유기동물보호센터,전라남도 해남군
446493202500373,2025-12-02,해남읍 안동리,개,믹스견,2025(년생),2.14(Kg),F,U,보호중,해남유기동물보호센터,전라남도 해남군
446493202500372,2025-12-02,해남읍 안동리,개,믹스견,2021(년생),7.26(Kg),F,N,보호중,해남유기동물보호센터,전라남도 해남군
446493202500371,2025-12-02,해남읍 해리,개,믹스견,2024(년생),9.32(Kg),M,U,보호중,해남유기동물보호센터,전라남도 해남군
446480202501780,2025-12-02,수산시장,개,믹스견,2024(년생),4.6(Kg),F,N,보호중,목포시유기동물보호소,전라남도 목포시
444454202501125,2025-12-02,지산동,개,말티즈,2022(년생),2.5(Kg),F,U,보호중,논산시 동물보호센터,충청남도 논산시
443444202500477,2025-12-02,황간면 신흥1길1-2,고양이,한국 고양이,2022(년생),3.9(Kg),F,U,보호중,최종주동물병원,충청북도 영동군
443442202500285,2025-12-02,충청북도 보은군 보은읍 교사리,개,비글,2021(년생),10.24(Kg),M,N,보호중,보은군동물보호센터,충청북도 보은군
442426202500467,2025-12-02,공근 학담길 48,개,믹스견,2022(년생),5.1(Kg),F,N,보호중,횡성유기동물보호센터,강원특별자치도 횡성군
431373202501806,2025-12-02,웅촌면 은현공단2길 10,개,믹스견,2022(년생),17(Kg),M,N,보호중,울산유기동물보호센터,울산광역시 울주군
431373202501805,2025-12-02,범서읍 구영리 559번지,개,믹스견,2025(60일미만)(년생),2.5(Kg),M,N,보호중,울산유기동물보호센터,울산광역시 울주군
431373202501804,2025-12-02,두동면 은을길 100-9,개,믹스견,2021(년생),15(Kg),Q,N,보호중,울산유기동물보호센터,울산광역시 울주군
431371202500531,2025-12-02,화정동 일대,개,시베리안 허스키,2024(년생),15(Kg),M,U,종료(반환),울산유기동물보호센터,울산광역시 동구
430365202500596,2025-12-02,대흥로 117 번길 주변 ,개,믹스견,2021(년생),5(Kg),F,U,보호중,대전동물보호센터,대전광역시 중구
429363202501032,2025-12-02,광산구 선암동 60-4,개,시베리안 허스키,2023(년생),20(Kg),M,Y,종료(반환),광주동물보호센터,광주광역시 광산구
428353202501128,2025-12-02,남동구 구월동 610-4,개,시츄,2012(년생),3(Kg),F,U,보호중,인천광역시수의사회,인천광역시 남동구
426329202500861,2025-12-02,부산진구 초읍동 주민센터,개,믹스견,2020(년생),3(Kg),M,N,보호중,동물보호관리협회,부산광역시 부산진구
446480202501779,2025-12-02,종합운동장,개,믹스견,2025(60일미만)(년생),0.32(Kg),M,N,보호중,목포시유기동물보호소,전라남도 목포시
446480202501778,2025-12-02,종합운동장,개,믹스견,2025(60일미만)(년생),0.33(Kg),M,N,보호중,목포시유기동물보호소,전라남도 목포시
446480202501777,2025-12-02,종합운동장,개,믹스견,2025(60일미만)(년생),0.30(Kg),M,N,보호중,목포시유기동물보호소,전라남도 목포시
446480202501776,2025-12-02,종합운동장,개,믹스견,2025(60일미만)(년생),0.31(Kg),M,N,보호중,목포시유기동물보호소,전라남도 목포시
446480202501774,2025-12-02,종합운동장,개,믹스견,2025(60일미만)(년생),0.31(Kg),M,N,보호중,목포시유기동물보호소,전라남도 목포시
446480202501773,2025-12-02,종합운동장,개,믹스견,2025(60일미만)(년생),0.27(Kg),F,N,보호중,목포시유기동물보호소,전라남도 목포시
446480202501772,2025-12-02,종합운동장,개,믹스견,2025(60일미만)(년생),0.25(Kg),F,N,보호중,목포시유기동물보호소,전라남도 목포시
448567202501847,2025-12-02,성산구 남지동 산15-2,개,믹스견,2025(60일미만)(년생),2.2(Kg),F,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501846,2025-12-02,성산구 남지동 산15-2,개,믹스견,2022(년생),7(Kg),F,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501845,2025-12-02,의창구 동정동 454,개,믹스견,2025(60일미만)(년생),1.8(Kg),M,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501844,2025-12-02,의창구 동정동 454,개,믹스견,2025(60일미만)(년생),1.8(Kg),F,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501843,2025-12-02,의창구 대산면 모산리 114-4,개,믹스견,2022(년생),20(Kg),F,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501842,2025-12-02,성산구 남지동 산15-2,개,믹스견,2025(60일미만)(년생),2.2(Kg),F,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501841,2025-12-02,의창구 동정동 785-1,개,믹스견,2025(60일미만)(년생),2(Kg),F,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501840,2025-12-02,의창구 동정동 785-1,개,믹스견,2025(60일미만)(년생),1.8(Kg),M,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501839,2025-12-02,의창구 동정동 785-1,개,믹스견,2025(60일미만)(년생),2(Kg),M,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448567202501838,2025-12-02,의창구 동정동 785-1,개,믹스견,2023(년생),8(Kg),F,N,보호중,창원동물보호센터,경상남도 창원시 의창성산구
448548202501091,2025-12-02,대병면,개,믹스견,2024(년생),5(Kg),F,N,보호중,태민동물보호센터,경상남도 합천군
448548202501090,2025-12-02,대병면,개,믹스견,2024(년생),5(Kg),M,N,보호중,태민동물보호센터,경상남도 합천군
448548202501089,2025-12-02,대병면,개,믹스견,2024(년생),5(Kg),F,N,보호중,태민동물보호센터,경상남도 합천군
448548202501088,2025-12-02,묘산면,개,믹스견,2021(년생),5(Kg),F,N,보호중,태민동물보호센터,경상남도 합천군
448543202500209,2025-12-02,창선 당항,개,믹스견,2022(년생),19(Kg),M,N,보호중,남해군동물보호센터,경상남도 남해군
448543202500208,2025-12-02,남면 해성고,개,믹스견,2021(년생),17(Kg),F,N,보호중,남해군동물보호센터,경상남도 남해군
448543202500207,2025-12-02,설천 노량,개,말티즈,2022(년생),3.3(Kg),M,N,보호중,남해군동물보호센터,경상남도 남해군
448541202501872,2025-12-02,창녕119,개,믹스견,2022(년생),20(Kg),F,N,보호중,창녕 유기동물보호소,경상남도 창녕군
448541202501871,2025-12-02,남지읍 남고길,고양이,한국 고양이,2022(년생),5(Kg),M,N,보호중,창녕 유기동물보호소,경상남도 창녕군
448541202501870,2025-12-02,계성면 사리,고양이,한국 고양이,2023(년생),3(Kg),F,Y,보호중,창녕 유기동물보호소,경상남도 창녕군
448537202501446,2025-12-02,연초면 명동3길20,개,믹스견,2022(년생),30(Kg),M,N,보호중,거제시동물보호센터,경상남도 거제시
448537202501445,2025-12-02,하청면 유계마을 ,고양이,한국 고양이,2025(년생),1(Kg),Q,N,보호중,거제시동물보호센터,경상남도 거제시
448536202501053,2025-12-02,초동면,개,믹스견,2025(년생),4(Kg),M,N,보호중,밀양시 동물보호센터,경상남도 밀양시
448536202501052,2025-12-02,초동면,개,믹스견,2025(년생),4(Kg),F,N,보호중,밀양시 동물보호센터,경상남도 밀양시
448536202501051,2025-12-02,초동면,개,믹스견,2025(년생),4(Kg),F,N,보호중,밀양시 동물보호센터,경상남도 밀양시
448536202501050,2025-12-02,초동면,개,믹스견,2025(60일미만)(년생),4(Kg),F,N,보호중,밀양시 동물보호센터,경상남도 밀양시
447518202500443,2025-12-02,포항 북구 장성동 ,고양이,믹스묘,2025(60일미만)(년생),0.5(Kg),F,N,보호중,영덕반려동물입양센터,경상북도 영덕군
447511202501449,2025-12-02,상주시 인평동일대,개,믹스견,2023(년생),9.06(Kg),M,N,보호중,상주시 동물보호센터,경상북도 상주시
447511202501448,2025-12-02,상주시 모동면 중화로일대,개,믹스견,2020(년생),10.63(Kg),M,N,보호중,상주시 동물보호센터,경상북도 상주시
447508202501784,2025-12-02,봉곡동 251-9,개,푸들,2017(년생),4.83(Kg),F,U,보호중,구미시 동물보호센터,경상북도 구미시
447505202501652,2025-12-02,광명동 대경로 근방,개,믹스견,2025(60일미만)(년생),2.2(Kg),M,N,보호중,경주동물사랑보호센터,경상북도 경주시
446497202500384,2025-12-02,법성터미널 앞 GS25 ,개,믹스견,2023(년생),7(Kg),M,N,보호중,영광동물보호센터,전라남도 영광군
446497202500383,2025-12-02,염산면 향화로 10-68 ,개,믹스견,2024(년생),7(Kg),F,N,보호중,영광동물보호센터,전라남도 영광군
446497202500382,2025-12-02,염산면 향화로 10-68 ,개,믹스견,2023(년생),8(Kg),M,N,보호중,영광동물보호센터,전라남도 영광군
446497202500381,2025-12-02,염산면 향화로 10-68 ,개,믹스견,2023(년생),9(Kg),F,N,보호중,영광동물보호센터,전라남도 영광군
446484202500858,2025-12-02,봉강면 황현로 245-22주변,개,믹스견,2025(년생),3(Kg),M,N,보호중,광양시 임시보호소,전라남도 광양시
446484202500857,2025-12-02,광양소방서,개,믹스견,2025(60일미만)(년생),2(Kg),M,N,보호중,광양시 임시보호소,전라남도 광양시
446482202500954,2025-12-02,별량 서동,개,믹스견,2025(년생),4(Kg),M,N,보호중,순천시유기동물보호소,전라남도 순천시
446482202500953,2025-12-02,연향동119,개,믹스견,2025(년생),3(Kg),F,N,보호중,순천시유기동물보호소,전라남도 순천시
446482202500952,2025-12-02,연향동,고양이,한국 고양이,2025(60일미만)(년생),0.44(Kg),F,N,보호중,대한동물사랑협회,전라남도 순천시
445479202501254,2025-12-02,행안면 미륵골길 32,개,믹스견,2016(년생),10(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501253,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),F,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501252,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501251,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501250,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501249,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501248,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501247,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501246,2025-12-02,상서면 유정마을,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445479202501245,2025-12-02,상서면 유정마을,개,믹스견,2020(년생),9(Kg),F,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445474202500065,2025-12-02,가정진료소 인근,개,믹스견,2021(년생),3(Kg),M,U,보호중,무주군,전북특별자치도 무주군
445469202501700,2025-12-02,감곡면 하평1길 62-2,개,믹스견,2021(년생),20(Kg),F,N,보호중,정읍시 동물보호소,전북특별자치도 정읍시
445469202501699,2025-12-02,정읍 고다리 인근,개,비숑 프리제,2022(년생),6(Kg),M,N,보호중,정읍시 동물보호소,전북특별자치도 정읍시
445469202501698,2025-12-02,수금리 377-1,개,믹스견,2025(60일미만)(년생),1(Kg),F,N,보호중,정읍시 동물보호소,전북특별자치도 정읍시
445469202501697,2025-12-02,수금리 377-1,개,믹스견,2025(60일미만)(년생),1(Kg),F,N,보호중,정읍시 동물보호소,전북특별자치도 정읍시
445469202501696,2025-12-02,수금리 377-1,개,믹스견,2025(60일미만)(년생),1(Kg),M,N,보호중,정읍시 동물보호소,전북특별자치도 정읍시
445468202503123,2025-12-02,익산시 오산면 광지길 52,개,믹스견,2024(년생),7(Kg),F,N,보호중,익산유기동물보호소,전북특별자치도 익산시
445468202503122,2025-12-02,익산시 모현동 모현이화아파트 ,개,믹스견,2019(년생),6(Kg),M,N,보호중,익산유기동물보호소,전북특별자치도 익산시
445467202502537,2025-12-02,군산시 차병원 부근,개,푸들,2021(년생),3(Kg),F,U,보호중,군산유기동물보호센터,전북특별자치도 군산시
445467202502536,2025-12-02,미장동 535 아이파크 모델하우스,고양이,믹스묘,2025(60일미만)(년생),0.5(Kg),M,N,보호중,군산유기동물보호센터,전북특별자치도 군산시
444568202501653,2025-12-02,당진시 합덕읍 덕평로 478,개,믹스견,2025(60일미만)(년생),2.00(Kg),F,U,보호중,당진시동물보호소,충청남도 당진시
444568202501652,2025-12-02,당진시 합덕읍 덕평로 478,개,믹스견,2025(60일미만)(년생),2.00(Kg),F,U,보호중,당진시동물보호소,충청남도 당진시
444568202501651,2025-12-02,당진시 합덕읍 덕평로 478,개,믹스견,2025(60일미만)(년생),2.00(Kg),M,U,보호중,당진시동물보호소,충청남도 당진시
444568202501650,2025-12-02,당진시 합덕읍 덕평로 478,개,믹스견,2025(60일미만)(년생),2.00(Kg),M,U,보호중,당진시동물보호소,충청남도 당진시
444568202501649,2025-12-02,당진시 합덕읍 덕평로 478,개,믹스견,2025(60일미만)(년생),2.00(Kg),M,U,보호중,당진시동물보호소,충청남도 당진시
444568202501648,2025-12-02,당진시 합덕읍 덕평로 478,개,믹스견,2025(60일미만)(년생),2.00(Kg),M,U,보호중,당진시동물보호소,충청남도 당진시
444568202501647,2025-12-02,당진시 석문면 원삼화1길 41,개,믹스견,2025(60일미만)(년생),2.00(Kg),M,U,보호중,당진시동물보호소,충청남도 당진시
444568202501646,2025-12-02,당진시 석문면 원삼화1길 41,개,믹스견,2025(60일미만)(년생),2.00(Kg),F,U,보호중,당진시동물보호소,충청남도 당진시
444568202501645,2025-12-02,당진시 석문면 원삼화1길 41,개,믹스견,2025(60일미만)(년생),2.00(Kg),M,U,보호중,당진시동물보호소,충청남도 당진시
444462202500958,2025-12-02,안면읍 승언리 1786-2,개,믹스견,2018(년생),20(Kg),M,N,보호중,최동물병원,충청남도 태안군
444462202500957,2025-12-02,안면읍 조운막터길 37-31,개,믹스견,2022(년생),8(Kg),M,N,보호중,최동물병원,충청남도 태안군
444461202500367,2025-12-02,삽교읍 신촌길 72-7,고양이,믹스묘,2025(60일미만)(년생),0.7(Kg),M,U,보호중,예산임시동물보호센터,충청남도 예산군
444461202500366,2025-12-02,삽교읍 신촌길 72-7,고양이,믹스묘,2025(60일미만)(년생),0.7(Kg),M,U,보호중,예산임시동물보호센터,충청남도 예산군
444461202500365,2025-12-02,삽교읍 신촌길 72-7,고양이,믹스묘,2025(60일미만)(년생),0.7(Kg),M,U,보호중,예산임시동물보호센터,충청남도 예산군
444457202500671,2025-12-02,부여읍 가탑로 75 웰빙마을,개,믹스견,2025(60일미만)(년생),1.5(Kg),M,N,보호중,남부여동물보호소,충청남도 부여군
444457202500670,2025-12-02,부여읍 가탑로 75 웰빙마을,개,믹스견,2025(60일미만)(년생),1.8(Kg),M,N,보호중,남부여동물보호소,충청남도 부여군
444457202500669,2025-12-02,부여읍 가탑로 75 웰빙마을,개,믹스견,2025(60일미만)(년생),2(Kg),M,N,보호중,남부여동물보호소,충청남도 부여군
444453202501492,2025-12-02,팔봉면 범머리길 460 인근,개,믹스견,2022(년생),3.12(Kg),F,U,보호중,서산시 동물보호센터,충청남도 서산시
444453202501491,2025-12-02,팔봉면 범머리길 460 인근,개,믹스견,2024(년생),3.22(Kg),M,U,보호중,서산시 동물보호센터,충청남도 서산시
444453202501490,2025-12-02,팔봉면 범머리길 460 인근,개,믹스견,2024(년생),4.72(Kg),F,U,보호중,서산시 동물보호센터,충청남도 서산시
444453202501489,2025-12-02,팔봉면 어송솔티2길 43-12,개,믹스견,2025(년생),4.84(Kg),M,U,보호중,서산시 동물보호센터,충청남도 서산시
444453202501488,2025-12-02,음암면 황금터길 201 두리사랑보호작업장,개,믹스견,2023(년생),26(Kg),F,U,보호중,서산시 동물보호센터,충청남도 서산시
444452202502207,2025-12-02,음봉면 낚시터 인근 배회,개,비숑 프리제,2019(년생),5(Kg),M,Y,보호중,아산동물복지지원센터,충청남도 아산시
444452202502206,2025-12-02,둔포면 석곡리 2206,개,시바,2024(년생),8.7(Kg),M,N,보호중,아산동물복지지원센터,충청남도 아산시
444449202502179,2025-12-02,서북구 성정동 광신빌라 앞 도로,개,푸들,2018(년생),4.8(Kg),M,Y,종료(반환),천안시 동물보호센터,충청남도 천안시
443447202501268,2025-12-02,감곡면 오궁길 23-10,개,믹스견,2025(60일미만)(년생),1(Kg),F,N,보호중,금왕동물병원,충청북도 음성군
443447202501267,2025-12-02,감곡면 오궁길 23-10,개,믹스견,2025(60일미만)(년생),1(Kg),F,N,보호중,금왕동물병원,충청북도 음성군
443443202500775,2025-12-02,옥천읍,개,골든 리트리버,2022(년생),25(Kg),M,N,보호중,옥천동물병원,충청북도 옥천군
443443202500774,2025-12-02,옥천읍,개,푸들,2020(년생),10(Kg),M,N,보호중,옥천동물병원,충청북도 옥천군
441554202501767,2025-12-02,광주시 담안길 일대,고양이,한국 고양이,2025(년생),1.00(Kg),M,N,보호중,광주TNR동물병원송정,경기도 광주시
441554202501766,2025-12-02,광주시 곤지암읍 삼리 일대,개,믹스견,2023(년생),7.00(Kg),F,N,보호중,광주TNR동물병원초월,경기도 광주시
441554202501765,2025-12-02,광주시 곤지암읍 삼리 일대,개,믹스견,2024(년생),6.00(Kg),M,N,보호중,광주TNR동물병원초월,경기도 광주시
441554202501764,2025-12-02,광주시 곤지암읍 삼리 일대,개,믹스견,2023(년생),7.00(Kg),M,N,보호중,광주TNR동물병원초월,경기도 광주시
441554202501763,2025-12-02,광주시 목현천,개,믹스견,2015(년생),18.00(Kg),M,N,보호중,광주TNR동물병원초월,경기도 광주시
441417202502525,2025-12-02,경기도 양평군 지평면 지평의병로116번길 1,개,믹스견,2023(년생),18.9(Kg),M,N,보호중,양평군유기동물보호소,경기도 양평군
441405202503201,2025-12-02,처인구 남동 220,개,믹스견,2022(년생),7.5(Kg),M,U,보호중,용인시 동물보호센터,경기도 용인시
441401202501440,2025-12-02,금화로 202번길 231,개,믹스견,2025(년생),2.2(Kg),F,U,보호중,시흥동물누리보호센터,경기도 시흥시
441401202501439,2025-12-02,신천로 92,개,보더 콜리,2022(년생),14.3(Kg),M,N,종료(반환),시흥동물누리보호센터,경기도 시흥시
441401202501438,2025-12-02,하우로 186,개,믹스견,2022(년생),5.6(Kg),M,N,보호중,시흥동물누리보호센터,경기도 시흥시
441399202502571,2025-12-02,조안파출소,개,믹스견,2024(년생),6.8(Kg),M,N,종료(반환),남양주시동물보호센터,경기도 남양주시
441394202502472,2025-12-02,설문동 493-14 부근,개,라브라도 리트리버,2025(년생),19(Kg),M,N,보호중,고양시동물보호센터,경기도 고양시
441394202502471,2025-12-02,원당동 969-1 부근,개,믹스견,2025(년생),3.8(Kg),F,N,보호중,고양시동물보호센터,경기도 고양시
441393202501863,2025-12-02,덕성초교 부근,고양이,한국 고양이,2025(년생),1(Kg),F,N,보호중,한국야생동물보호협회,경기도 안산시
441391202502880,2025-12-02,팽성읍 안정로 75-7,고양이,한국 고양이,2023(년생),5(Kg),M,Y,보호중,평택시동물보호센터,경기도 평택시
441378202501773,2025-12-02,궁내동 345-1,개,진도견,2024(년생),13.2(Kg),F,U,보호중,펫앤쉘터동물병원,경기도 성남시
441374202501380,2025-12-02,장안구 장안로 211(정자동),개,포메라니안,2015(년생),4.70(Kg),M,Y,보호중,수원시 동물보호센터,경기도 수원시
431370202500955,2025-12-02,용연공단,고양이,한국 고양이,2025(60일미만)(년생),0.65(Kg),F,N,보호중,사랑동물병원,울산광역시 남구
431369202500770,2025-12-02,성안동,고양이,한국 고양이,2025(년생),1.30(Kg),M,N,보호중,산타클라라동물병원,울산광역시 중구
431369202500769,2025-12-02,학성동,고양이,한국 고양이,2025(년생),0.80(Kg),M,N,보호중,산타클라라동물병원,울산광역시 중구
431369202500768,2025-12-02,태화동,기타,기타축종,2024(년생),0.10(Kg),Q,N,보호중,산타클라라동물병원,울산광역시 중구
430368202500543,2025-12-02,오정동 305-1 번지,개,믹스견,2022(년생),4(Kg),M,U,보호중,대전동물보호센터,대전광역시 대덕구
429363202501025,2025-12-02,광산구 목련로 63,개,푸들,2020(년생),5.5(Kg),M,Y,종료(반환),광주동물보호센터,광주광역시 광산구
429362202500915,2025-12-02,북구 중흥동,고양이,한국 고양이,2022(년생),3.8(Kg),M,N,보호중,광주동물보호센터,광주광역시 북구
428357202501756,2025-12-02,강화대로 284 (갑곳리),개,말티즈,2019(년생),5(Kg),F,U,종료(반환),디디동물병원,인천광역시 강화군
428356202501658,2025-12-02,청라 백세요양병원,개,말티즈,2022(년생),4.3(Kg),F,U,보호중,우리동물병원,인천광역시 서구
427348202501129,2025-12-02,가창댐 부근,고양이,한국 고양이,2025(60일미만)(년생),1.4(Kg),M,N,보호중,동인동물병원,대구광역시 달성군
427348202501128,2025-12-02,유가읍 테크노상업로4길 7-10 농협 지하주차장,고양이,한국 고양이,2025(년생),0.9(Kg),M,N,보호중,현풍동물병원,대구광역시 달성군
427348202501127,2025-12-02,비슬로120길 13 인근,개,믹스견,2025(년생),4.6(Kg),M,N,보호중,현풍동물병원,대구광역시 달성군
427347202500927,2025-12-02,두류역 부근,개,말티즈,2024(년생),2.5(Kg),F,U,보호중,대구유기동물보호협회,대구광역시 달서구
427347202500926,2025-12-02,대성사 부근,개,믹스견,2025(60일미만)(년생),2(Kg),F,N,보호중,대구유기동물보호협회,대구광역시 달서구
427347202500925,2025-12-02,대성사 부근,개,믹스견,2025(60일미만)(년생),2(Kg),F,N,보호중,대구유기동물보호협회,대구광역시 달서구
427347202500924,2025-12-02,대성사 부근,개,믹스견,2025(60일미만)(년생),2(Kg),F,N,보호중,대구유기동물보호협회,대구광역시 달서구
